"destination","imo","update_time"
"AJAIO","1008205","21/4/2020 03:41:37.744+00"
"AMSTERDAM","9682370","21/4/2020 03:41:37.744+00"
"BALBOA","9694414","21/4/2020 03:41:37.744+00"
"BARCELONA","9297163","21/4/2020 03:41:37.744+00"
"BCN ANCHORAGE","9470894","21/4/2020 03:41:37.744+00"
"BRANI","9695872","21/4/2020 03:41:37.744+00"
"BURNTISLAND","9031040","21/4/2020 03:41:37.744+00"
"CANNES","9694012","21/4/2020 03:41:37.744+00"
"DK SKA","9194000","21/4/2020 03:41:37.744+00"
"EGAIS","9384590","21/4/2020 03:41:37.744+00"
"EG AIS","9484716","21/4/2020 03:41:37.744+00"
"FRMRS","9319973","21/4/2020 03:41:37.744+00"
"FT LAUDERDALE","9028249","21/4/2020 03:41:37.744+00"
"IEWHI","9694359","21/4/2020 03:41:37.744+00"
"ITAQUI BRAZIL","9294472","21/4/2020 03:41:37.744+00"
"JP HHR OFR","9124873","21/4/2020 03:41:37.744+00"
">JP MIZ-B OFF","9844289","21/4/2020 03:41:37.744+00"
">JP MYJ","9819038","21/4/2020 03:41:37.744+00"
">JP SKD","9207144","21/4/2020 03:41:37.744+00"
"JP>TBN<OFF","9893412","21/4/2020 03:41:37.744+00"
"JP TXD OFF","9526863","21/4/2020 03:41:37.744+00"
"KALININGRAD","9421635","21/4/2020 03:41:37.744+00"
"KAVKAZ","7741017","21/4/2020 03:41:37.744+00"
"KAYANGAN","8504703","21/4/2020 03:41:37.744+00"
"KETAPANG","8904226","21/4/2020 03:41:37.744+00"
"KILLYBEGS","9696307","21/4/2020 03:41:37.744+00"
"KYLE","9826718","21/4/2020 03:41:37.744+00"
"MOBILE","9383560","21/4/2020 03:41:37.744+00"
"MURMANSK","8520769","21/4/2020 03:41:37.744+00"
"NLRTM","9429223","21/4/2020 03:41:37.744+00"
"NZWLG > SGSIN","9292058","21/4/2020 03:41:37.744+00"
"PORT SAID","9752711","21/4/2020 03:41:37.744+00"
"PROBOLINGGO","9108582","21/4/2020 03:41:37.744+00"
"ROTTERDAM","9431692","21/4/2020 03:41:37.744+00"
"SEATTLE","8030477","21/4/2020 03:41:37.744+00"
"SHANTOU CN","9079145","21/4/2020 03:41:37.744+00"
"SWPASS P/STN NOLA","9845972","21/4/2020 03:41:37.744+00"
"TWKHH>PHCEB","9202194","21/4/2020 03:41:37.744+00"
"TYSNES","9579420","21/4/2020 03:41:37.744+00"
"ZHU HAI","9475571","21/4/2020 03:41:37.744+00"
"ABUDHABI","9606819","21/4/2020 03:41:37.743+00"
"ANCHORAGE 8","9483516","21/4/2020 03:41:37.743+00"
"ARSLO","9309497","21/4/2020 03:41:37.743+00"
"BAHRAIN","9411915","21/4/2020 03:41:37.743+00"
"BUSAN","8821527","21/4/2020 03:41:37.743+00"
"CHANGJIANGKOU","9651620","21/4/2020 03:41:37.743+00"
"CHANGSHU","9766918","21/4/2020 03:41:37.743+00"
"CN RZH","9593220","21/4/2020 03:41:37.743+00"
"COLOMBO","9258686","21/4/2020 03:41:37.743+00"
"DANANG_VN","9302334","21/4/2020 03:41:37.743+00"
"DEIA","9829928","21/4/2020 03:41:37.743+00"
"DENHELDER","7350595","21/4/2020 03:41:37.743+00"
"DUBAI","9686443","21/4/2020 03:41:37.743+00"
"FISHING GROUND","8716411","21/4/2020 03:41:37.743+00"
"FOR ORDERS","9779616","21/4/2020 03:41:37.743+00"
"FUJAIRAH","9213296","21/4/2020 03:41:37.743+00"
"FUJAIRAH ANCH","9230517","21/4/2020 03:41:37.743+00"
"GRESIK","9082166","21/4/2020 03:41:37.743+00"
"GRESIK IDN","9118733","21/4/2020 03:41:37.743+00"
"HELSINKI","9808807","21/4/2020 03:41:37.743+00"
"IN NML","9203332","21/4/2020 03:41:37.743+00"
"IN OKH","9618111","21/4/2020 03:41:37.743+00"
"JEDDAH","9454723","21/4/2020 03:41:37.743+00"
"JP KZU OFF","8933370","21/4/2020 03:41:37.743+00"
">JP MIZ/E","9874882","21/4/2020 03:41:37.743+00"
">JP MYJ/OFF","9859832","21/4/2020 03:41:37.743+00"
">JP NGO 6 OFF","9093323","21/4/2020 03:41:37.743+00"
">JP SBK2","9119048","21/4/2020 03:41:37.743+00"
"JP SMJ<=>JP OSA 4S","9258416","21/4/2020 03:41:37.743+00"
"JP UBE","9391775","21/4/2020 03:41:37.743+00"
"JP YOK SUZUSHIGE","9673692","21/4/2020 03:41:37.743+00"
"JP YOS","8934154","21/4/2020 03:41:37.743+00"
"LIANYUNGANG","9717656","21/4/2020 03:41:37.743+00"
"MONTEVIDEO","7827847","21/4/2020 03:41:37.743+00"
"MUSSAFAH","9563184","21/4/2020 03:41:37.743+00"
"NANTONG CHINA","9272448","21/4/2020 03:41:37.743+00"
"NO MON","9150509","21/4/2020 03:41:37.743+00"
"OPEN SEA","9615145","21/4/2020 03:41:37.743+00"
"PHE, AUS","9375965","21/4/2020 03:41:37.743+00"
"PTA.DELGADA","9607588","21/4/2020 03:41:37.743+00"
"ROSTOV","9403499","21/4/2020 03:41:37.743+00"
"ROSTOV ON DON","8943088","21/4/2020 03:41:37.743+00"
"RU TMR","9035292","21/4/2020 03:41:37.743+00"
"RU VVO","9596923","21/4/2020 03:41:37.743+00"
"SINGAPORE","9427043","21/4/2020 03:41:37.743+00"
"SINGAPORE","9524140","21/4/2020 03:41:37.743+00"
"SINGAPORE","9529607","21/4/2020 03:41:37.743+00"
"SINGAPORE AWW","8403313","21/4/2020 03:41:37.743+00"
"TANAJIB","9477012","21/4/2020 03:41:37.743+00"
"TIAN JIN","9074767","21/4/2020 03:41:37.743+00"
"VITORIA BRAZIL","9643958","21/4/2020 03:41:37.743+00"
"YANTAI","9227601","21/4/2020 03:41:37.743+00"
"ALIAGA","9803821","21/4/2020 03:41:37.742+00"
"AMD+-)S6OT!APB!D","9039298","21/4/2020 03:41:37.742+00"
"ATAKOY MARINA","9288215","21/4/2020 03:41:37.742+00"
"BARCELONA","9777668","21/4/2020 03:41:37.742+00"
"BDAM","8433772","21/4/2020 03:41:37.742+00"
"BEGNE","9698434","21/4/2020 03:41:37.742+00"
"BEIRA","9260158","21/4/2020 03:41:37.742+00"
"BH MIN>AE FJR","9708071","21/4/2020 03:41:37.742+00"
"BILBAO","9429091","21/4/2020 03:41:37.742+00"
"BR PEC","9796573","21/4/2020 03:41:37.742+00"
"CMDLA","9311880","21/4/2020 03:41:37.742+00"
"CONSTANTA","9513634","21/4/2020 03:41:37.742+00"
"DEBRV","9048392","21/4/2020 03:41:37.742+00"
"EN ZONA DE PESCA","8827569","21/4/2020 03:41:37.742+00"
"FISH_FARMS","9839349","21/4/2020 03:41:37.742+00"
"FOR ORDERS","9414759","21/4/2020 03:41:37.742+00"
"FOR ORDERS","9616034","21/4/2020 03:41:37.742+00"
"GB LIV","9491769","21/4/2020 03:41:37.742+00"
"GOLFE JUAN","8651829","21/4/2020 03:41:37.742+00"
"HORTEN-MOSS","9144093","21/4/2020 03:41:37.742+00"
"KALI LIMENES","9384992","21/4/2020 03:41:37.742+00"
"KALININGRAD","9735141","21/4/2020 03:41:37.742+00"
"KAVKAZ","7517052","21/4/2020 03:41:37.742+00"
">KR PUS","9263021","21/4/2020 03:41:37.742+00"
"KYLE OF LOCHALSH","9476329","21/4/2020 03:41:37.742+00"
"LAGOS SAA","9307279","21/4/2020 03:41:37.742+00"
"LIMASSOL  CYPRUS","9192399","21/4/2020 03:41:37.742+00"
"MIAMI BEACH MARINA","9842906","21/4/2020 03:41:37.742+00"
"MIDIA","6829082","21/4/2020 03:41:37.742+00"
"MP280","1330000","21/4/2020 03:41:37.742+00"
"MTV","9566631","21/4/2020 03:41:37.742+00"
"MUPLO","9305881","21/4/2020 03:41:37.742+00"
"MZBEW","9574042","21/4/2020 03:41:37.742+00"
"NAVY ARMS ON BOARDN","9160932","21/4/2020 03:41:37.742+00"
"NICE","1005409","21/4/2020 03:41:37.742+00"
"NING BO","9205794","21/4/2020 03:41:37.742+00"
"NLRTM ANCHORAGE","9412529","21/4/2020 03:41:37.742+00"
"NOVOROSSIYSK","8955225","21/4/2020 03:41:37.742+00"
"OSLO","8912027","21/4/2020 03:41:37.742+00"
"PA BLB","9468619","21/4/2020 03:41:37.742+00"
"PHILIPSBURG","8707343","21/4/2020 03:41:37.742+00"
"PT SET","9125061","21/4/2020 03:41:37.742+00"
