destination,imo,update_time,sector
IT CAG,9143403,22/4/2020 07:12:52.423+00,DRY BULK
MANILA,9118941,22/4/2020 07:12:52.423+00,DRY BULK
"RAVENNA,ITALY",9309629,22/4/2020 07:12:52.423+00,TANKER
SHV,9828209,22/4/2020 07:12:52.423+00,TANKER
ST JOHNS,9551935,22/4/2020 07:12:52.423+00,DRY BULK
TR YLO -> UA IZM,7922221,22/4/2020 07:12:52.423+00,TANKER
TTPTS>MAJFL,9372420,22/4/2020 07:12:52.423+00,TANKER
ABIDJAN/IVORY COAST,9782340,22/4/2020 07:12:52.422+00,DRY
ASHDOD,8222434,22/4/2020 07:12:52.422+00,DRY BULK
ASHDOD,9104809,22/4/2020 07:12:52.422+00,DRY BULK
CHANIA,9359741,22/4/2020 07:12:52.422+00,TANKER
CN NTG,9245067,22/4/2020 07:12:52.422+00,DRY
CONCHAN / PERU,9619531,22/4/2020 07:12:52.422+00,TANKER
DALIAN,8917584,22/4/2020 07:12:52.422+00,CONTAINER
EGSKT->PLGDN,9312896,22/4/2020 07:12:52.422+00,TANKER
ES AGP>BR ITQ,9600619,22/4/2020 07:12:52.422+00,DRY
FRMTX,9515034,22/4/2020 07:12:52.422+00,DRY BULK
GR SKG,8209626,22/4/2020 07:12:52.422+00,DRY BULK
GUANG ZHOU,9646601,22/4/2020 07:12:52.422+00,DRY BULK
IRAQ.  KAZ,9307920,22/4/2020 07:12:52.422+00,TANKER
KLAIPEDA F.O,9380489,22/4/2020 07:12:52.422+00,TANKER
"LANSHAN,CHINA",9402299,22/4/2020 07:12:52.422+00,DRY BULK
LAVERA,9269271,22/4/2020 07:12:52.422+00,TANKER
LCB_OPL,9576882,22/4/2020 07:12:52.422+00,DRY BULK
MAPTAPHUT,9635535,22/4/2020 07:12:52.422+00,TANKER
N/W PACIFIC,9067192,22/4/2020 07:12:52.422+00,TANKER
QARLF,9256200,22/4/2020 07:12:52.422+00,TANKER
ROTTERDAM,9248825,22/4/2020 07:12:52.422+00,TANKER
TBA,9113874,22/4/2020 07:12:52.422+00,DRY
USNYC > USBOS,9408877,22/4/2020 07:12:52.422+00,CONTAINER
YANGON.MM,9202792,22/4/2020 07:12:52.422+00,CONTAINER
ANTWERP,9312913,22/4/2020 07:12:52.421+00,TANKER
AUBNE-MYPKG,9400136,22/4/2020 07:12:52.421+00,CONTAINER
CN SHA,9792656,22/4/2020 07:12:52.421+00,CONTAINER
CN ZOS,9558206,22/4/2020 07:12:52.421+00,DRY BULK
DK AAR,9234082,22/4/2020 07:12:52.421+00,DRY BULK
ENNORE,9512214,22/4/2020 07:12:52.421+00,DRY
FUJAIRAH,9460083,22/4/2020 07:12:52.421+00,DRY
GN CKY,9407407,22/4/2020 07:12:52.421+00,TANKER
GRPIR,9167942,22/4/2020 07:12:52.421+00,CONTAINER
GR SKG,7602699,22/4/2020 07:12:52.421+00,DRY BULK
HIGH SEA,9119737,22/4/2020 07:12:52.421+00,TANKER
HONG KONG P/S,9612997,22/4/2020 07:12:52.421+00,CONTAINER
IN HZR,9738832,22/4/2020 07:12:52.421+00,DRY BULK
JP NGO > ID KUM,9370214,22/4/2020 07:12:52.421+00,DRY
>JP UKB J,9179402,22/4/2020 07:12:52.421+00,CONTAINER
KAVKAZ,8943208,22/4/2020 07:12:52.421+00,DRY BULK
KR KAN,9723916,22/4/2020 07:12:52.421+00,DRY BULK
LOME,5141342,22/4/2020 07:12:52.421+00,DRY BULK
MUMBAI,9638836,22/4/2020 07:12:52.421+00,DRY
OITA JP,9633214,22/4/2020 07:12:52.421+00,DRY BULK
RABAUL PNG,8421286,22/4/2020 07:12:52.421+00,CONTAINER
RUKZP,9455923,22/4/2020 07:12:52.421+00,DRY
SEMIRARA,9764013,22/4/2020 07:12:52.421+00,DRY
"SIKKA,IND",9610389,22/4/2020 07:12:52.421+00,TANKER
TAICHUNG/TAIWAN,9693197,22/4/2020 07:12:52.421+00,DRY
TR DYL>ES CAR,9256597,22/4/2020 07:12:52.421+00,TANKER
TW KHH>JP OSA,9202156,22/4/2020 07:12:52.421+00,CONTAINER
US MSY,9265926,22/4/2020 07:12:52.421+00,DRY BULK
ZHANJIANG,9747558,22/4/2020 07:12:52.421+00,DRY
ZHOU SHAN,9655767,22/4/2020 07:12:52.421+00,DRY
AE FJR,9387176,22/4/2020 07:12:52.42+00,TANKER
AE HAM,9415002,22/4/2020 07:12:52.42+00,TANKER
AEKLF,9495040,22/4/2020 07:12:52.42+00,CONTAINER
AGIO THEOEGIA,9546150,22/4/2020 07:12:52.42+00,TANKER
AL JUBAIL,9332042,22/4/2020 07:12:52.42+00,TANKER
DILER,9163568,22/4/2020 07:12:52.42+00,DRY BULK
EGAIS,9779848,22/4/2020 07:12:52.42+00,TANKER
EGSUZ,9543536,22/4/2020 07:12:52.42+00,TANKER
FRMTX,9750713,22/4/2020 07:12:52.42+00,TANKER
HUAFENG JINHAI SY.,9149794,22/4/2020 07:12:52.42+00,DRY BULK
INDMQ,9598048,22/4/2020 07:12:52.42+00,DRY
JEDDAH,9454723,22/4/2020 07:12:52.42+00,DRY BULK
JP FNB,9033373,22/4/2020 07:12:52.42+00,DRY
LC CAS,9437684,22/4/2020 07:12:52.42+00,TANKER
NEWCASTLE,9567001,22/4/2020 07:12:52.42+00,DRY BULK
PAN JIN,9568897,22/4/2020 07:12:52.42+00,DRY
PORT KLANG,9728356,22/4/2020 07:12:52.42+00,DRY
QINGDAO,9579626,22/4/2020 07:12:52.42+00,DRY
QINGDAO  DAGANG,9643738,22/4/2020 07:12:52.42+00,DRY
SG PEBGA,9351737,22/4/2020 07:12:52.42+00,DRY
SG PEBGB,9685891,22/4/2020 07:12:52.42+00,TANKER
SHANGHAI,9743174,22/4/2020 07:12:52.42+00,DRY BULK
SINGAPORE,9457220,22/4/2020 07:12:52.42+00,DRY BULK
SINGAPORE,9491393,22/4/2020 07:12:52.42+00,DRY
TEESPORT,9566291,22/4/2020 07:12:52.42+00,TANKER
ARMED GUARD O/B,9360829,22/4/2020 07:12:52.419+00,TANKER
CN DDG,9295012,22/4/2020 07:12:52.419+00,DRY BULK
CN QDG,9461312,22/4/2020 07:12:52.419+00,DRY
CN RZH,9545297,22/4/2020 07:12:52.419+00,DRY BULK
DALIAN,9709233,22/4/2020 07:12:52.419+00,DRY
DPL  INDA,9013139,22/4/2020 07:12:52.419+00,CONTAINER
ES AGP,9820661,22/4/2020 07:12:52.419+00,DRY BULK
FRLAV,9670949,22/4/2020 07:12:52.419+00,TANKER
HAI MEN,9536430,22/4/2020 07:12:52.419+00,DRY BULK
IND ADANG BAY,9120061,22/4/2020 07:12:52.419+00,DRY
MERSIN,9804215,22/4/2020 07:12:52.419+00,TANKER
NANSHA,9238600,22/4/2020 07:12:52.419+00,CONTAINER
ROTTERDAM,9518804,22/4/2020 07:12:52.419+00,TANKER
XIUYU CHINA,9305128,22/4/2020 07:12:52.419+00,TANKER
ZA DUR,9575541,22/4/2020 07:12:52.419+00,TANKER
AMIRABAD,8215742,22/4/2020 07:12:52.399+00,DRY BULK
CN ZOS,9498602,22/4/2020 07:12:52.399+00,DRY BULK
ERSAI ANCHORAGE AREA,9814521,22/4/2020 07:12:52.399+00,DRY BULK
ISLA SERRANO,9053684,22/4/2020 07:12:52.399+00,DRY BULK
JEDDAH,9259111,22/4/2020 07:12:52.399+00,TANKER
KANDLA-INDIA,9221360,22/4/2020 07:12:52.399+00,DRY BULK
MERAK,8403624,22/4/2020 07:12:52.399+00,TANKER
PALJASSAARE,9462093,22/4/2020 07:12:52.399+00,TANKER
PUERTO_CABELLO,9349447,22/4/2020 07:12:52.399+00,DRY BULK
SALVADOR,9403968,22/4/2020 07:12:52.399+00,TANKER
AR_SLO,9713911,22/4/2020 07:12:52.398+00,DRY
CA THU,9415210,22/4/2020 07:12:52.398+00,DRY
CJK CN,9573775,22/4/2020 07:12:52.398+00,DRY BULK
CN DLC,9161819,22/4/2020 07:12:52.398+00,CONTAINER
IT CHI,9421130,22/4/2020 07:12:52.398+00,DRY BULK
