imo,sector,destination,top1,score1,top2,score2,top3,score3,top4,score4,top5,score5
9216547,TANKER,CIENFUEGOS.CU,Cienfuegos + code1,100,Santiago de Cuba + code2,56,Foshan + code2,56,Kuchinotsu + code1,52,Cienaga + code1,50
9618680,DRY,"TJ.BARA,IDN",Itajai + code2,62,Tanjung Bara + code1,61,Rapid Bay + code1,60,Bartin + code1,59,Barbers Point + code1,58
9550462,DRY,SHIHU,Shihu + code1,100,Shingu + code1,73,Shishi + code1,73,Huizhou + code1,67,Sibu + code1,67
8902826,DRY BULK,SINGAPORE,Singapore + code1,100,Gopalpur + code2,71,Helsingor + code1,67,Port Dina + code1,67,Surigao + code1,62
9692428,TANKER,CN CJK,Kuchinotsu + code2,55,Chanaral + code2,55,Jiangmen + code2,55,"Kingstown, St. Vincent + code2",55,Kawagoe + code2,55
9786803,DRY BULK,TN SUS,Ketchikan + code2,73,Trenton + code2,73,Houston + code1,62,Surat Thani + code1,59,Faustina + code1,57
9305934,CONTAINER,EGPSD,Port Said + code2,100,Egersund + code1,62,Alcudia + code2,60,Karlstad + code2,60,Safaga + code2,60
9558206,DRY BULK,CN ZOS,Zhoushan + code2,91,Laizhou + code2,73,Foshan + code2,73,Zhongshan + code2,73,Taizhou + code2,73
9501071,DRY BULK,SUEZ,Suez Bay + code1,100,Suez Port + code1,100,Sture + code1,67,Suape + code1,67,Sturgeon Bay + code2,67
9533359,DRY,CMA PHA,Cam Pha + code1,86,MAP TA PHUT + code1,67,Halifax + code2,67,Port Hawkesbury - Wright Point Oil Berth + code2,67,"Dartmouth, N.S., Canada + code2",67
9674567,CONTAINER,ID JKT>TH LCH,Bach Ho + code1+3,62,Can Tho + code1+3,62,Ha Tinh + code1+3,62,Tha Sala + code1+3,57,Loch Striven + code1+3,56
9218272,DRY,"NECOCHEA,ARGENTINA",Necochea + code1,100,"Colon, Argentina + code1",75,"San Nicolas, Argentina + code1",72,"San Pedro, Argentina + code1",70,"Rosario, Argentina + code1",69
9387279,TANKER,QUINTERO,Quintero + code1,100,Hunterston + code1,67,Iquitos + code1,67,Mukilteo + code1,62,Ennore + code2,62
9341366,TANKER,BATAM,Batam + code1,100,Bastia + code1,73,Bataan + code1,73,Batumi + code1,73,Buatan + code1,73
9271559,DRY BULK,SINGAPORE,Singapore + code1,100,Gopalpur + code2,71,Helsingor + code1,67,Port Dina + code1,67,Surigao + code1,62
9409077,DRY,IL ETH,Methil + code1,83,Bethel + code1,67,Fethiye + code1,62,Thi Vai + code1,62,Hilo + code1,60
9716030,DRY,PARANAGUA BRAZIL,Paranagua + code1,100,"Natal, Brazil + code1",71,Santa Clara (Brazil) + code1,71,"Vitoria, Brazil + code1",60,Panama Canal + code1,57
9403762,TANKER,KALBUT,Kalbut Situbondo + code1,100,Jaluit + code1,67,Karluk + code1,67,Calicut + code1,62,Kahului + code1,62
9224051,CONTAINER,ITRAV,Sitra + code1,80,Ravenna + code2,80,Crotone + code2,80,Itea + code1,67,Kenitra + code1,67
9316115,TANKER,ADR BRAZIL,"Natal, Brazil + code1",75,Santa Clara (Brazil) + code1,75,"Vitoria, Brazil + code1",75,Braila + code1,62,Yarraville + code1,60
9609720,DRY,"FORTALEZA,BR",Fortaleza + code1,100,Fortaleza + code2,59,Kota Baru + code1,57,Botlek + code1,56,Braila + code1,56
9444962,CONTAINER,JPMOJ,Moji + code2,100,Kagoshima + code2,80,Ocho Rios + code2,80,Aomori + code2,80,Matsuyama + code2,80
9400837,TANKER,CHEVRON.TERMINL,Termini Imerese + code1,60,Coronel + code1,55,Dalia Terminal + code1,55,"Tripoli, Lebanon + code1",53,Cherry Point + code1,52
9829100,TANKER,WHITEGATE,Whitegate + code1,100,Whitehaven + code1,74,Whittier + code1,71,Gaeta + code2,71,Itea + code1,62
9659933,DRY,LABUAN,Labuan + code1,100,Labuan Amuk + code1,100,Busan + code1,73,Balamban + code1,71,Lausanne + code1,71
9788966,TANKER,SINGAPORE EAST OPL,Singapore + code1,100,Helsingor + code1,59,Eastland Port + code1,58,East London + code1,55,Eastport (Me) + code1,55
9816842,DRY BULK,ITTRS>TRTUZ,Tuzla Dockyard + code2+3,100,Tutuncifilik + code2+3,80,Trabzon + code2+3,80,Tartous + code1+3,67,Truk + code1+3,67
9598311,DRY BULK,IN MRM,Mormugao + code2,91,Chin Men + code1,57,Muara Kintap + code1,56,Imari + code1,55,Izmir + code1,55
9558581,DRY BULK,ESPAS,Pasajes + code2,100,Aviles + code2,80,Puerto De Santa Maria + code2,80,San Sebastian + code2,80,Palamos + code2,80
