"id","imo","sector","destination","top1","score1","top2","score2","top3","score3","top4","score4","top5","score5"
"94157","9306469","TANKER","MZMNC","Nacala + MZMNC","100","Mahajunga + MGMJN","60","Nouakchott + MRNKC","60","Cozumel + MXCZM","60","Rangoon + MMRGN","60"
"94162","9461489","CONTAINER","CNVAN-->CNTAO","Qingdao (formerly Tsingtao) + CNTAO&&>","100","TAICANG + 	CNTA&&>","89","Cinta + name&&>","80","Taixing + CNTAX&&>","80","Taizhou + CNTZO&&>","80"
"94195","9493743","DRY BULK","UAYUZ","Yuzhny + UAYUZ","100","Mayaguez + name","62","Suez Bay + name","62","Tubay + name","60","Xiuyu + name","60"
"94242","9314222","CONTAINER","CAPRR","Prince Rupert + CAPRR","100","Three Rivers + CATRR","80","Prescott (Usa) + CAPRE","80","Aparri + name","73","Canaport + name","62"
"94247","9503940","TANKER","SRPBM","Paramaribo + SRPBM","100","Paranam + SRPRM","80","Smalkalden + 	SRSM","67","Bandar Imam Khomeini + IRBKM","60","Bahia Las Minas + PAPBM","60"
"94259","9331141","TANKER","COCVE","Covenas + COCVE","100","Cienaga + COCIE","80","Covenas + name","67","Gove + name","67","Crockett + name","62"
"94278","9422407","TANKER","USSFO>PABLB","Balboa + PABLB&&>","100","Palu + name&&>","67","Pagbilao + name&&>","62","Kabil + name&&>","60","Palma + name&&>","60"
"94281","9030864","DRY BULK","GRPIR>ITCVV","Civitavecchia + ITCVV&&>","100","Crotone + ITCRV&&>","80","Cagliari + ITCAG&&>","60","Porto Vesme + ITPVE&&>","60","St Vincent + CVVXE&&>","60"
"94300","9708849","CONTAINER","CNYSA>CNNGB","Ningbo + CNNGB&&>","100","Nantong + CNNTG&&>","80","Nanjing + CNNJG&&>","80","Ningbo + CNNBO&&>","80","Ningbo + name&&>","73"
"94302","9280586","TANKER","IQKAZ","Khor al Zubair + IQKAZ","100","Khor-al-Amaya + IQKHA","80","Kiska + name","60","Sikka + name","60","Sitka + name","60"
"94307","9184433","DRY BULK","FRBAY","Bayonne, France + FRBAY","100","Bastia + FRBIA","80","Bassens + FRBAS","80","Jafrabad + name","62","Surabaya + name","62"
"94308","9362956","CONTAINER","ITSPE","La Spezia + ITSPE","100","Pesaro + ITPES","80","Porto Empedocle + ITPEM","80","Porto Vesme + ITPVE","80","Santa Panagia + ITSPA","80"
"94315","9244867","TANKER","MYTPP","Tanjung Pelepas + MYTPP","100","Tanjung Manis + MYTMP","80","Punta Del Este + UYPDP","60","Lutong + MYLUT","60","Saipan + MPSPN","60"
"94329","9290438","TANKER","MTMLA OPL","Malta (Grand Harbour) + MTMLA","100","La Palma + name","59","La Place + name","59","La Plata + name","59","Tanjung Manis + MYTMP","57"
"94337","9689603","CONTAINER","EGDAM","Damietta + EGDAM","100","Coega + name","60","Gamba + name","60","Onega + name","60","Domsjo + SEDOM","60"
